listing_id,operation,district,neighborhood,address,surface_m2,rooms,bathrooms,price_eur,price_per_m2,floor,elevator,balcony,furnished,condition,energy_certificate,has_parking,latitude,longitude,agency
,buy,Unknown,,C/ Diagonal 230,87.0,,2,1250029.0,470708.0,bajo,,,,poor,,,41.37867,,Remax
66,,Nou Barris,El Born,,116.0,3,1,428154.0,,4º,False,False,,nuevo,F,True,41.0,,Engel & Völkers
,lease,Unknown,El raval,,,,,,7985.0,ático,True,True,,nuevo,E,False,,2.0,Housfy
,rent,Gràcia,,C/ Aragó 211,,5,,473357.0,,bajo,True,True,True,a reformar,A,True,41.35285,2.17776,Idealista
69,buy,Gràcia,El Raval,C/ Gran Via 10,,2,1,,3216.0,2º,True,False,,nuevo,A,False,41.0,,Housfy
70,venta,Nou Barris,,,120.0,2,,1973867.0,,,True,True,False,reformado,,,,,Housfy
71,lease,Sants-Montjuïc,Vila de Gràcia,C/ Mallorca 132,,,,1880926.0,,4º,,True,True,,E,True,,,Idealista
ID_71,buy,Gràcia,El Clot,Calle Falsa 123,,,,2966.0,317497.0,2º,False,True,False,average,D,,41.0,2.0,Remax
,,Sants-Montjuïc,Poble-sec,C/ Gran Via 254,65.0,2,2,,6352.0,4º,False,True,True,average,A,,41.37081,2.13072,Idealista
,alquiler,Sant Martí,El Raval,C/ Mallorca 69,108.0,,2,4465.0,,ático,True,,False,,D,False,41.0,,Fotocasa
ID_74,buy,Ciutat Vella,El raval,,140.0,2,,4678.0,6066.0,2º,False,True,False,poor,,,41.0,2.17638,
ID_75,,Sant Martí,Poble-sec,C/ Gran Via 317,,5,,,,2º,True,False,True,a reformar,G,True,41.39864,2.14067,Particular
,alquiler,SANTS,Sant Antoni,,39.0,3,,381741.0,,bajo,True,False,,average,G,,41.37931,,Idealista
,alquiler,Sarrià-Sant Gervasi,El Raval,Calle Falsa 123,55.0,3,,3721.0,5572.0,4º,,False,False,,C,False,41.0,,Engel & Völkers
79,rent,Sarrià-Sant Gervasi,,Calle Falsa 123,,,2,,,3º,True,False,,good,A,False,,2.11379,Remax
,buy,Sants-Montjuïc,El Born,Calle Falsa 123,100.0,,,385117.0,449478.0,ático,True,False,,a reformar,D,True,,,Engel & Völkers
,lease,Nou Barris,Sagrada familia,Calle Falsa 123,115.0,2,,,,ático,,True,,,B,False,41.41091,,
,VENDER,Nou Barris,Les Corts,Passeig de Gràcia,,,2,1200.0,266331.0,4º,False,False,,nuevo,E,,41.38351,,Housfy
ID_82,venta,gracia,Sant Antoni,,87.0,,2,246771.0,,ático,False,False,,a reformar,F,False,41.36337,,
ID_83,lease,Eixampl,El Raval,C/ Gran Via 17,,,,,,bajo,False,True,,a reformar,D,,,2.12989,
85,buy,Sarrià-Sant Gervasi,Poble-sec,Calle Falsa 123,185.0,3,1,1200.0,222406.0,1º,False,False,False,nuevo,F,,,2.11216,Housfy
86,alquiler,gracia,El Raval,Calle Falsa 123,,2,2,,,ático,True,False,True,nuevo,E,,,,Idealista
ID_86,,Sant Andreu,,,78.0,3,1,,361005.0,3º,,,,poor,E,False,,2.0,Fotocasa
ID_87,VENDER,Ciutat Vella,Sant Antoni,C/ Aragó 381,,,1,,908068.0,3º,True,False,False,a reformar,,,41.40043,,Engel & Völkers
,buy,Eixample,,Calle Falsa 123,,,,454991.0,,sótano,True,True,True,nuevo,D,True,,,Remax
ID_89,buy,Sant Martí,,Passeig de Gràcia,208.0,,1,2548.0,85964.0,2º,False,,True,,D,False,41.37561,,Idealista
ID_90,lease,Sant Andreu,El Born,C/ Diagonal 390,,1,,263137.0,4361.0,sótano,False,True,True,good,B,True,41.38716,2.0,Engel & Völkers
,lease,Gràcia,,,163.0,3,1,269345.0,5889.0,1º,True,False,False,average,,True,41.39292,2.13352,Fotocasa
ID_92,alquiler,gracia,Poble-sec,,,3,3,,,,True,True,,,D,True,41.41119,,Remax
94,,Les Corts,,,50.0,,,426348.0,,sótano,True,,True,nuevo,F,True,41.35262,,Fotocasa
,buy,Les Corts,Sant Antoni,,,2,3,381968.0,,bajo,True,True,,poor,C,False,,,Remax
ID_95,venta,Nou Barris,El raval,Passeig de Gràcia,102.0,,2,4998.0,310443.0,1º,,,False,reformado,F,,,,Fotocasa
,VENDER,Sant Martí,,Passeig de Gràcia,,,,312694.0,,3º,False,,,average,D,False,41.0,,
ID_97,lease,Unknown,El raval,Passeig de Gràcia,77.0,5,2,,5196.0,1º,False,False,,nuevo,,False,41.0,,Fotocasa
ID_98,rent,Eixampl,,,108.0,3,,,674917.0,1º,,False,,nuevo,G,False,,,Housfy
ID_99,,Unknown,El raval,,141.0,,,192370.0,6061.0,3º,True,,,reformado,F,True,,2.15794,Particular
101,alquiler,Unknown,Diagonal Mar,C/ Gran Via 13,64.0,,1,,546811.0,ático,False,False,False,a reformar,G,False,,2.0,Particular
,rent,Sarrià-Sant Gervasi,El raval,Calle Falsa 123,136.0,,2,4368.0,,1º,True,True,,nuevo,,True,,,Remax
,alquiler,Sant Andreu,Poble-sec,,47.0,,,262583.0,,,True,True,True,good,B,False,,,Housfy
ID_103,rent,SANTS,Vila de Gràcia,C/ Diagonal 109,112.0,2,2,1264.0,,1º,,False,False,poor,C,False,,2.13343,
ID_104,,Les Corts,La Barceloneta,,66.0,,,1394905.0,,,False,False,,,C,True,41.0,2.11762,
ID_105,VENDER,Ciutat Vella,El Born,C/ Aragó 347,102.0,2,3,1455224.0,897578.0,,False,False,,nuevo,,True,41.0,2.0,Particular
ID_106,lease,Sarrià-Sant Gervasi,El Clot,,93.0,,2,,6136.0,4º,False,False,,poor,,,,,
ID_107,venta,Eixampl,Sagrada Família,Passeig de Gràcia,51.0,,3,,,,False,,False,good,,True,,2.20908,
,lease,Horta-Guinardó,El raval,C/ Gran Via 118,,,1,243246.0,7855.0,,True,True,True,poor,B,True,,2.18386,
ID_109,VENDER,Sants-Montjuïc,Poble-sec,Calle Falsa 123,179.0,2,1,1694105.0,3889.0,3º,False,True,,poor,E,False,,,Idealista
111,venta,Eixampl,,C/ Mallorca 227,92.0,4,2,1200.0,,4º,True,True,,good,,,41.40123,,Particular
ID_111,venta,Nou Barris,Vila de Gràcia,Calle Falsa 123,,2,,,7941.0,1º,False,,,poor,D,False,,2.20151,Housfy
113,alquiler,gracia,,Passeig de Gràcia,,,1,279352.0,55571.0,ático,True,False,,poor,A,True,41.41827,2.20874,Particular
ID_113,VENDER,Eixampl,La Barceloneta,C/ Diagonal 135,,,,1271.0,4492.0,,False,True,,,C,False,41.0,2.16278,Engel & Völkers
115,,Eixample,,Calle Falsa 123,,,1,1200.0,,,False,,,good,C,False,41.0,,Engel & Völkers
,venta,gracia,,Calle Falsa 123,,,,1387.0,,2º,False,False,,average,F,,41.35831,2.0,Idealista
ID_116,VENDER,Gràcia,,,120.0,,3,1200.0,,bajo,False,True,False,average,C,False,41.0,2.18468,Remax
,alquiler,Gràcia,Diagonal Mar,Passeig de Gràcia,61.0,,,1200.0,721585.0,2º,True,True,,nuevo,C,False,,2.10317,
,,gracia,Sagrada familia,Calle Falsa 123,,3,,174317.0,,sótano,True,True,,good,F,True,41.36353,,Particular
,alquiler,Nou Barris,La Barceloneta,,183.0,2,,116599.0,,ático,,True,False,poor,A,True,41.0,2.0,
,VENDER,Sant Martí,El raval,Calle Falsa 123,134.0,2,3,1886558.0,,bajo,False,True,True,reformado,E,True,41.0,,Idealista
ID_121,alquiler,Sant Martí,Diagonal Mar,C/ Gran Via 171,107.0,3,,,,4º,,False,,good,,,,,Idealista
ID_122,lease,Eixample,,Calle Falsa 123,,,,,7886.0,2º,False,False,False,,E,False,41.0,2.11109,
ID_123,lease,Eixample,Diagonal Mar,,,2,1,242476.0,,ático,True,,True,poor,A,True,41.38383,2.10188,
125,,Ciutat Vella,,Passeig de Gràcia,,,1,1959.0,290887.0,bajo,False,False,False,reformado,,False,,,Engel & Völkers
ID_125,alquiler,Ciutat Vella,El Clot,C/ Aragó 159,,2,2,1200.0,,2º,False,True,,average,A,True,,,Engel & Völkers
ID_126,rent,Sarrià-Sant Gervasi,El Clot,Passeig de Gràcia,,3,2,203198.0,,sótano,False,True,False,a reformar,,False,,2.13238,Housfy
,buy,Unknown,,,,3,2,1171732.0,,1º,True,,False,,,False,,2.13277,Idealista
ID_128,venta,Sants-Montjuïc,Sant Antoni,C/ Diagonal 256,52.0,,,,977029.0,sótano,False,False,,nuevo,D,True,,,Housfy
130,buy,Horta-Guinardó,El raval,,225.0,,1,,7945.0,,False,True,,,,False,41.36638,,Fotocasa
,lease,Horta-Guinardó,El raval,C/ Gran Via 273,71.0,,2,395064.0,781621.0,3º,False,False,True,average,G,False,,2.0,Remax
,alquiler,Nou Barris,,C/ Gran Via 343,,6,,,656244.0,4º,False,,False,,E,,,2.0,
,alquiler,Sarrià-Sant Gervasi,Sagrada familia,Passeig de Gràcia,,2,1,1200.0,,sótano,,False,True,nuevo,A,True,,2.0,Fotocasa
134,alquiler,Unknown,Les Corts,Calle Falsa 123,,,2,469476.0,87859.0,bajo,True,,,nuevo,A,,,2.0,Housfy
ID_134,venta,gracia,Diagonal Mar,,213.0,3,1,1200.0,,,True,True,True,reformado,F,True,41.0,,Idealista
ID_135,VENDER,SANTS,El Clot,Calle Falsa 123,70.0,3,,,714392.0,1º,False,False,,,E,True,41.0,,Engel & Völkers
ID_136,alquiler,Sants-Montjuïc,Sagrada Família,Passeig de Gràcia,112.0,3,1,201364.0,461927.0,sótano,,,True,poor,D,False,41.40109,2.11489,Idealista
ID_137,rent,SANTS,,,140.0,2,2,329001.0,6143.0,4º,True,,False,a reformar,D,,,2.1538,
,lease,Horta-Guinardó,El Born,C/ Diagonal 317,133.0,2,1,208944.0,,4º,True,False,,reformado,B,,41.0,2.18054,Engel & Völkers
,alquiler,Gràcia,El Raval,Passeig de Gràcia,57.0,4,,108515.0,,1º,,True,False,poor,G,True,41.0,2.0,
141,venta,Horta-Guinardó,Poble-sec,Calle Falsa 123,,,,247291.0,,1º,True,True,,good,,False,,,Fotocasa
,,Eixample,El Raval,Passeig de Gràcia,84.0,,2,336244.0,,bajo,True,True,True,,C,,,2.0,Remax
,buy,Les Corts,Poble-sec,C/ Diagonal 299,54.0,2,2,458937.0,7384.0,,,,,a reformar,F,True,41.0,2.0,Engel & Völkers
ID_143,rent,Gràcia,Sant Antoni,,128.0,3,2,934.0,508769.0,2º,False,,,,,True,,,Engel & Völkers
ID_144,VENDER,Sant Andreu,El Born,Calle Falsa 123,,,,1200.0,557785.0,1º,,False,True,poor,E,True,,,Particular
,lease,Eixample,Les Corts,Passeig de Gràcia,,5,1,207782.0,6578.0,1º,,True,,poor,E,True,,2.0,Housfy
,rent,Eixample,Sagrada Família,,119.0,,2,4703.0,,,False,False,,a reformar,A,True,41.0,,Idealista
148,venta,gracia,,Calle Falsa 123,115.0,5,1,1200.0,975231.0,,,False,,average,B,True,41.0,,
149,VENDER,gracia,La Barceloneta,,99.0,,1,160369.0,,,True,,,,D,True,41.39383,2.18656,Fotocasa
150,venta,Eixample,,Calle Falsa 123,147.0,,2,,,3º,,True,,,F,True,,2.0,Engel & Völkers
,venta,Nou Barris,El raval,Passeig de Gràcia,133.0,,,104355.0,,2º,False,True,False,a reformar,G,False,,,Idealista
ID_151,,Nou Barris,Sant Antoni,Passeig de Gràcia,131.0,2,,1200.0,,,,False,,,D,,,,Remax
ID_152,venta,gracia,,,,3,1,,,4º,True,True,,good,E,,,2.0,Idealista
,venta,Eixample,,Passeig de Gràcia,138.0,2,,,,ático,,False,False,,E,,,2.0,Housfy
155,VENDER,SANTS,,,,2,,,,4º,,False,,nuevo,E,False,,2.21893,Particular
156,,gracia,Poble-sec,,63.0,3,1,1200.0,6093.0,3º,True,True,,nuevo,D,False,41.36996,2.2102,Housfy
,lease,Sants-Montjuïc,El Clot,C/ Aragó 304,102.0,,,483000.0,3879.0,1º,,True,False,a reformar,,False,,2.0,Remax
,,Sarrià-Sant Gervasi,Vila de Gràcia,,,2,,,626601.0,sótano,False,False,,poor,C,,,2.0,Particular
159,rent,Sant Andreu,Sagrada familia,,152.0,,2,206514.0,,1º,False,False,,a reformar,B,False,,,Housfy
ID_159,VENDER,Gràcia,Sagrada Família,Calle Falsa 123,111.0,3,1,,,3º,,,,,F,,,,Particular
,alquiler,Sant Andreu,El raval,,,,2,,,ático,False,False,,a reformar,A,False,,,Idealista
ID_161,rent,Gràcia,El Raval,Calle Falsa 123,59.0,,,,3174.0,,,True,,reformado,F,,41.0,,Remax
163,venta,Gràcia,El Born,,,4,1,,933091.0,,False,False,,,E,False,,,Housfy
164,lease,Les Corts,La Barceloneta,,129.0,2,,,,sótano,False,,False,reformado,G,True,41.0,,
ID_164,VENDER,Horta-Guinardó,,Passeig de Gràcia,,3,3,123906.0,206145.0,bajo,False,True,,,D,,41.38091,,Engel & Völkers
166,buy,Ciutat Vella,El Raval,C/ Aragó 289,144.0,3,1,1200.0,,ático,True,True,False,nuevo,,,41.0,2.13702,Housfy
ID_166,buy,Nou Barris,El Clot,C/ Gran Via 81,59.0,3,3,1235968.0,,ático,False,,True,nuevo,E,,41.41236,,Housfy
168,buy,Eixampl,El Clot,,203.0,3,1,,,,False,False,True,nuevo,D,True,41.38562,,Idealista
169,buy,Sant Andreu,La Barceloneta,Passeig de Gràcia,,2,,3433.0,,2º,,,,nuevo,F,,,,Idealista
ID_169,venta,Sants-Montjuïc,El Raval,,224.0,,2,,885445.0,2º,False,False,True,poor,,True,,2.0,Remax
ID_170,,Eixampl,El raval,,166.0,,3,,,,False,True,,,B,True,41.0,2.0,Idealista
172,VENDER,Les Corts,Diagonal Mar,C/ Gran Via 296,79.0,,2,,,4º,False,False,,good,B,True,,,Fotocasa
ID_172,alquiler,Les Corts,El raval,Passeig de Gràcia,112.0,3,3,,,bajo,False,False,True,a reformar,B,True,,2.0,Idealista
,lease,SANTS,Sagrada Família,Calle Falsa 123,116.0,3,2,3094.0,,4º,,True,True,,,False,,,Remax
175,lease,gracia,Sagrada Família,,103.0,2,1,556517.0,7286.0,1º,True,True,,a reformar,B,True,,2.202,Engel & Völkers
ID_175,venta,Eixampl,,,,3,2,134366.0,766538.0,3º,True,False,,,A,,,2.15121,Housfy
177,buy,Eixample,La Barceloneta,,113.0,1,3,260890.0,596824.0,sótano,False,True,True,good,,True,41.0,2.21806,Remax
178,VENDER,Horta-Guinardó,El raval,Calle Falsa 123,,3,1,493752.0,,ático,False,False,,a reformar,,True,,2.0,Housfy
,lease,SANTS,El raval,Calle Falsa 123,123.0,,2,,,2º,,,True,average,,,,,Housfy
ID_179,venta,Unknown,El Clot,,,,1,1021227.0,,4º,False,,True,good,F,True,41.0,,Idealista
ID_180,buy,Unknown,,,,,,,690667.0,,True,True,True,,E,True,41.0,,Housfy
182,VENDER,gracia,Sagrada Família,C/ Aragó 36,38.0,,1,1200.0,,1º,False,True,,,E,True,,2.12253,Idealista
,lease,Sant Martí,Vila de Gràcia,Passeig de Gràcia,96.0,3,1,,265067.0,ático,False,True,True,average,E,False,41.35166,2.16991,Housfy
ID_183,VENDER,Sant Martí,Poble-sec,,231.0,,2,1200.0,,ático,True,True,False,average,G,,41.0,,Housfy
ID_184,buy,Horta-Guinardó,,,109.0,2,,778278.0,,1º,False,False,,a reformar,C,False,,,
,,SANTS,El Clot,,50.0,2,2,1641219.0,427615.0,2º,True,True,True,nuevo,E,False,41.42281,2.20555,Remax
187,buy,Sant Andreu,Poble-sec,C/ Diagonal 97,59.0,,,407663.0,,ático,,True,,average,D,False,41.0,,Engel & Völkers
ID_187,lease,Horta-Guinardó,,Calle Falsa 123,,3,2,,,ático,True,,,good,G,False,41.0,,Engel & Völkers
ID_188,venta,Eixample,Vila de Gràcia,C/ Gran Via 71,100.0,,,168315.0,,,False,True,True,,,True,41.0,,Housfy
ID_189,buy,Nou Barris,El raval,C/ Mallorca 105,82.0,3,,1200.0,,3º,False,False,False,good,E,False,,2.12451,Remax
ID_190,VENDER,Unknown,El raval,,,1,2,,,3º,True,False,True,a reformar,E,True,,,Remax
ID_191,rent,Unknown,El Born,,137.0,3,2,,,1º,False,,True,nuevo,,True,,,Fotocasa
,alquiler,Sarrià-Sant Gervasi,El raval,Passeig de Gràcia,,4,,1200.0,,bajo,True,True,False,reformado,B,False,,2.14977,Fotocasa
,,Gràcia,El Clot,,50.0,,3,,,1º,True,True,,,,False,,,Particular
,,Les Corts,,C/ Aragó 307,197.0,,1,960.0,,3º,,True,,,B,True,41.38791,,Fotocasa
ID_195,lease,Les Corts,El Raval,Calle Falsa 123,78.0,,,1200.0,432144.0,1º,,,,good,,False,41.0,,Engel & Völkers
,buy,Eixample,El raval,Passeig de Gràcia,84.0,,2,3135.0,652551.0,,False,,True,average,F,False,41.0,,Idealista
ID_197,venta,Nou Barris,Sagrada Família,,120.0,,,940142.0,238981.0,2º,True,False,,good,F,,41.0,,Engel & Völkers
ID_198,lease,Sarrià-Sant Gervasi,El raval,,211.0,2,,2834.0,,ático,,True,,nuevo,G,,41.0,,Idealista
ID_199,lease,Gràcia,Sagrada Família,,,,,360088.0,,2º,True,True,,a reformar,B,False,41.0,,Housfy
201,lease,gracia,,C/ Aragó 45,,2,1,2952.0,,bajo,False,,,nuevo,,True,41.37274,2.17414,Engel & Völkers
ID_201,,Sarrià-Sant Gervasi,El Raval,,152.0,,2,,,1º,,True,,nuevo,E,True,41.40933,2.10759,
203,rent,Eixample,Vila de Gràcia,Passeig de Gràcia,,2,1,,244667.0,4º,False,True,True,poor,G,True,41.0,,Idealista
204,buy,Gràcia,El Born,,177.0,,,3578.0,,4º,False,False,True,good,D,True,,,
205,rent,Sant Andreu,El Clot,,89.0,3,,1442.0,566695.0,2º,False,False,False,reformado,C,True,41.41255,,Particular
ID_205,lease,Sants-Montjuïc,Sagrada Família,,117.0,2,2,401581.0,,2º,True,,False,,D,True,41.36592,2.0,Idealista
,VENDER,Sants-Montjuïc,El Raval,,144.0,3,,3867.0,4241.0,1º,True,,,,A,,41.41412,,Fotocasa
ID_207,buy,SANTS,La Barceloneta,C/ Aragó 169,,,1,1200.0,390914.0,4º,,True,,poor,E,,41.3838,2.0,Engel & Völkers
209,lease,Sants-Montjuïc,La Barceloneta,,47.0,,2,1095919.0,,,True,,,average,F,True,,,Particular
,VENDER,Sant Andreu,,,113.0,,2,,,2º,,False,,,,,,,Fotocasa
211,lease,Sant Martí,El raval,C/ Mallorca 321,,3,,259472.0,811766.0,ático,False,False,False,good,E,False,,2.0,Idealista
212,lease,Horta-Guinardó,El raval,,225.0,6,,,604822.0,1º,True,,,poor,G,,41.39908,2.0,Idealista
,lease,Sarrià-Sant Gervasi,El Born,,,2,,2830.0,,2º,True,,False,,,False,,,Particular
214,VENDER,Unknown,La Barceloneta,Calle Falsa 123,138.0,2,,1200.0,5819.0,3º,,True,,a reformar,,False,,2.0,Housfy
215,buy,Ciutat Vella,El Clot,,93.0,2,,967.0,5961.0,ático,True,,,good,D,,41.0,2.10154,
ID_215,alquiler,Ciutat Vella,El Clot,Passeig de Gràcia,231.0,1,3,1200.0,,,False,True,,average,A,False,,2.0,Engel & Völkers
,VENDER,Les Corts,El raval,,113.0,,2,,960734.0,,False,True,,reformado,B,True,41.36605,,Idealista
218,buy,Eixample,Poble-sec,Calle Falsa 123,138.0,,1,3993.0,744547.0,2º,True,True,True,,B,False,,,
219,rent,gracia,Sant Antoni,,,2,3,,,2º,False,True,,good,A,True,41.38066,,Idealista
220,lease,Unknown,El Raval,Calle Falsa 123,,2,2,1200.0,573389.0,3º,True,,False,,C,True,41.36596,2.0,
